model,family,params_b,benchmark,strategy,acc_mean,acc_std,n_seeds
gemma-2b,Gemma-2,2.0,gsm8k,cot,54.0,0.0,1
gemma-2b,Gemma-2,2.0,gsm8k,few_shot,2.5,0.0,1
gemma-2b,Gemma-2,2.0,gsm8k,structured,5.4,0.0,1
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,5.7,0.0,1
gemma-2b,Gemma-2,2.0,mmlu,cot,39.1,0.0,1
gemma-2b,Gemma-2,2.0,mmlu,few_shot,52.1,0.0,1
gemma-2b,Gemma-2,2.0,mmlu,structured,56.5,0.0,1
gemma-2b,Gemma-2,2.0,mmlu,zero_shot,55.2,0.0,1
gemma-2b,Gemma-2,2.0,sst2,cot,90.5,0.0,1
gemma-2b,Gemma-2,2.0,sst2,few_shot,74.3,0.0,1
gemma-2b,Gemma-2,2.0,sst2,structured,88.6,0.0,1
gemma-2b,Gemma-2,2.0,sst2,zero_shot,89.9,0.0,1
gemma-9b,Gemma-2,9.0,gsm8k,cot,86.3,0.0,1
gemma-9b,Gemma-2,9.0,gsm8k,few_shot,2.7,0.0,1
gemma-9b,Gemma-2,9.0,gsm8k,structured,21.8,0.0,1
gemma-9b,Gemma-2,9.0,gsm8k,zero_shot,16.3,0.0,1
gemma-9b,Gemma-2,9.0,mmlu,cot,70.3,0.0,1
gemma-9b,Gemma-2,9.0,mmlu,few_shot,69.1,0.0,1
gemma-9b,Gemma-2,9.0,mmlu,structured,68.3,0.0,1
gemma-9b,Gemma-2,9.0,mmlu,zero_shot,69.7,0.0,1
gemma-9b,Gemma-2,9.0,sst2,cot,90.6,0.0,1
gemma-9b,Gemma-2,9.0,sst2,few_shot,89.8,0.0,1
gemma-9b,Gemma-2,9.0,sst2,structured,92.2,0.0,1
gemma-9b,Gemma-2,9.0,sst2,zero_shot,90.6,0.0,1
llama-1b,Llama-3,1.0,gsm8k,cot,1.4,0.0,1
llama-1b,Llama-3,1.0,gsm8k,few_shot,1.4,0.0,1
llama-1b,Llama-3,1.0,gsm8k,structured,4.8,0.0,1
llama-1b,Llama-3,1.0,gsm8k,zero_shot,6.6,0.0,1
llama-1b,Llama-3,1.0,mmlu,cot,33.3,0.0,1
llama-1b,Llama-3,1.0,mmlu,few_shot,1.3,0.0,1
llama-1b,Llama-3,1.0,mmlu,structured,39.0,0.0,1
llama-1b,Llama-3,1.0,mmlu,zero_shot,32.4,0.0,1
llama-1b,Llama-3,1.0,sst2,cot,70.6,0.0,1
llama-1b,Llama-3,1.0,sst2,few_shot,0.1,0.0,1
llama-1b,Llama-3,1.0,sst2,structured,73.4,0.0,1
llama-1b,Llama-3,1.0,sst2,zero_shot,58.4,0.0,1
llama-3b,Llama-3,3.0,gsm8k,cot,73.0,0.0,1
llama-3b,Llama-3,3.0,gsm8k,few_shot,1.5,0.0,1
llama-3b,Llama-3,3.0,gsm8k,structured,7.7,0.0,1
llama-3b,Llama-3,3.0,gsm8k,zero_shot,11.1,0.0,1
llama-3b,Llama-3,3.0,mmlu,cot,55.9,0.0,1
llama-3b,Llama-3,3.0,mmlu,few_shot,39.7,0.0,1
llama-3b,Llama-3,3.0,mmlu,structured,56.6,0.0,1
llama-3b,Llama-3,3.0,mmlu,zero_shot,52.9,0.0,1
llama-3b,Llama-3,3.0,sst2,cot,84.7,0.0,1
llama-3b,Llama-3,3.0,sst2,few_shot,55.7,0.0,1
llama-3b,Llama-3,3.0,sst2,structured,89.9,0.0,1
llama-3b,Llama-3,3.0,sst2,zero_shot,88.6,0.0,1
llama-8b,Llama-3,8.0,gsm8k,cot,81.9,0.0,1
llama-8b,Llama-3,8.0,gsm8k,few_shot,0.8,0.0,1
llama-8b,Llama-3,8.0,gsm8k,structured,9.9,0.0,1
llama-8b,Llama-3,8.0,gsm8k,zero_shot,20.1,0.0,1
llama-8b,Llama-3,8.0,mmlu,cot,57.3,0.0,1
llama-8b,Llama-3,8.0,mmlu,few_shot,56.3,0.0,1
llama-8b,Llama-3,8.0,mmlu,structured,63.6,0.0,1
llama-8b,Llama-3,8.0,mmlu,zero_shot,62.5,0.0,1
llama-8b,Llama-3,8.0,sst2,cot,90.9,0.0,1
llama-8b,Llama-3,8.0,sst2,few_shot,85.4,0.0,1
llama-8b,Llama-3,8.0,sst2,structured,92.3,0.0,1
llama-8b,Llama-3,8.0,sst2,zero_shot,92.9,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,cot,24.7,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,few_shot,3.2,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,structured,2.0,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,zero_shot,2.7,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,cot,28.0,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,few_shot,27.5,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,structured,26.1,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,zero_shot,35.2,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,cot,67.4,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,few_shot,87.6,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,structured,73.1,0.0,1
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,61.0,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,cot,58.7,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,few_shot,7.2,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,structured,12.0,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,zero_shot,3.4,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,cot,45.3,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,few_shot,54.7,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,structured,56.9,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,zero_shot,55.6,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,cot,88.8,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,few_shot,92.0,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,structured,91.4,0.0,1
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,zero_shot,85.1,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,cot,71.1,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,few_shot,1.7,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,structured,2.0,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,zero_shot,1.7,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,cot,47.0,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,few_shot,59.6,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,structured,60.7,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,zero_shot,60.7,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,sst2,cot,89.3,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,sst2,few_shot,82.3,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,sst2,structured,90.9,0.0,1
qwen-3b,Qwen2.5-Instruct,3.0,sst2,zero_shot,80.4,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,cot,88.7,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,few_shot,2.0,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,structured,22.4,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,gsm8k,zero_shot,15.3,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,cot,54.7,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,few_shot,71.7,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,structured,69.9,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,mmlu,zero_shot,70.2,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,sst2,cot,93.5,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,sst2,few_shot,90.4,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,sst2,structured,92.7,0.0,1
qwen-7b,Qwen2.5-Instruct,7.0,sst2,zero_shot,83.7,0.0,1
