model,family,params_b,benchmark,strategy,accuracy_%,ci_lo,ci_hi,sec_per_item,tokens_per_correct,cost_per_1k_usd,accuracy_per_dollar
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,cot,24.7,22.1,27.5,2.204,2018.6,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,few_shot,3.2,2.3,4.5,0.577,6511.4,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,structured,2.0,1.3,3.1,0.358,7121.0,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,gsm8k,zero_shot,2.7,1.9,3.9,0.868,5830.0,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,cot,28.0,25.3,30.9,1.217,1373.9,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,few_shot,27.5,24.8,30.3,0.189,1131.0,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,structured,26.1,23.5,28.9,0.152,598.7,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,mmlu,zero_shot,35.2,32.3,38.2,0.14,422.4,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,cot,67.4,64.3,70.5,1.633,441.6,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,few_shot,87.6,85.3,89.6,0.122,140.2,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,structured,73.1,70.0,75.9,0.221,122.7,0.0,N/A
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,61.0,57.7,64.2,0.108,127.6,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,cot,58.7,55.6,61.7,2.438,690.9,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,few_shot,7.2,5.8,9.0,1.007,3017.8,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,structured,12.0,10.1,14.2,0.412,1028.9,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,gsm8k,zero_shot,3.4,2.4,4.7,0.982,4596.4,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,cot,45.3,42.2,48.4,3.092,855.0,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,few_shot,54.7,51.6,57.8,0.486,566.1,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,structured,56.9,53.8,59.9,0.442,272.0,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,mmlu,zero_shot,55.6,52.5,58.7,0.303,263.0,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,cot,88.8,86.5,90.7,1.854,244.3,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,few_shot,92.0,90.0,93.6,0.374,130.1,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,structured,91.4,89.4,93.1,0.488,97.0,0.0,N/A
qwen-1.5b,Qwen2.5-Instruct,1.5,sst2,zero_shot,85.1,82.6,87.3,0.372,94.4,0.0,N/A
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,cot,71.1,68.2,73.8,6.784,702.2,0.0,N/A
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,few_shot,1.7,1.1,2.7,1.856,13017.6,0.0,N/A
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,structured,2.0,1.3,3.1,0.719,6135.0,0.0,N/A
qwen-3b,Qwen2.5-Instruct,3.0,gsm8k,zero_shot,1.7,1.1,2.7,1.663,9311.7,0.0,N/A
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,cot,47.0,43.9,50.1,7.082,842.8,0.0,N/A
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,few_shot,59.6,56.5,62.6,1.158,519.3,0.0,N/A
qwen-3b,Qwen2.5-Instruct,3.0,mmlu,structured,60.7,57.6,63.7,0.831,256.0,0.0,N/A
