model,family,params_b,benchmark,strategy,accuracy_%,ci_lo,ci_hi,sec_per_item,tokens_per_correct,cost_per_1k_usd,accuracy_per_dollar
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,gsm8k,cot,43.1,40.1,46.2,2.264,1067.7,0.0,N/A
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,gsm8k,few_shot,0.7,0.3,1.4,0.657,31601.0,0.0,N/A
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,gsm8k,structured,5.2,4.0,6.8,0.374,2641.2,0.0,N/A
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,gsm8k,zero_shot,2.8,1.9,4.0,0.487,5146.0,0.0,N/A
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,cot,30.2,27.4,33.1,2.59,1308.6,0.0,N/A
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,few_shot,31.5,28.7,34.4,0.177,983.2,0.0,N/A
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,structured,40.9,37.9,44.0,0.199,381.8,0.0,N/A
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,43.1,40.1,46.2,0.152,339.4,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,gsm8k,cot,66.0,63.0,68.9,5.06,622.3,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,gsm8k,few_shot,3.9,2.9,5.3,1.713,5579.4,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,gsm8k,structured,11.6,9.8,13.7,0.512,1049.6,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,gsm8k,zero_shot,5.8,4.5,7.4,1.183,2407.3,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,mmlu,cot,43.6,40.6,46.7,7.728,896.4,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,mmlu,few_shot,33.2,30.4,36.2,0.626,942.9,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,mmlu,structured,59.8,56.7,62.8,0.51,260.4,0.0,N/A
qwen-1.5b-fp16,Qwen2.5-bf16,1.5,mmlu,zero_shot,57.8,54.7,60.8,0.406,255.1,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,gsm8k,cot,83.2,80.8,85.4,15.274,590.7,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,gsm8k,few_shot,2.6,1.8,3.8,3.702,8511.5,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,gsm8k,structured,12.6,10.7,14.8,1.004,967.0,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,gsm8k,zero_shot,1.6,1.0,2.6,3.51,9893.3,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,mmlu,cot,43.1,40.1,46.2,15.928,938.6,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,mmlu,few_shot,61.4,58.3,64.4,1.039,503.9,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,mmlu,structured,63.8,60.8,66.7,0.979,243.6,0.0,N/A
qwen-3b-fp16,Qwen2.5-bf16,3.0,mmlu,zero_shot,64.0,61.0,66.9,0.621,225.7,0.0,N/A
