model,family,params_b,benchmark,strategy,accuracy_%,ci_lo,ci_hi,sec_per_item,tokens_per_correct,cost_per_1k_usd,accuracy_per_dollar
gemma-2b,Gemma-2,2.0,gsm8k,cot,52.7,47.0,58.2,3.173,738.8,0.0,N/A
gemma-2b,Gemma-2,2.0,gsm8k,few_shot,2.3,1.1,4.7,1.316,8680.0,0.0,N/A
gemma-2b,Gemma-2,2.0,gsm8k,structured,6.0,3.8,9.3,0.62,1762.9,0.0,N/A
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,7.0,4.6,10.5,0.433,1348.7,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,cot,39.3,34.0,45.0,3.74,884.3,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,few_shot,50.7,45.0,56.3,203.623,559.2,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,structured,56.0,50.3,61.5,0.525,250.1,0.0,N/A
gemma-2b,Gemma-2,2.0,mmlu,zero_shot,54.3,48.7,59.9,31.001,237.9,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,cot,91.0,87.2,93.7,3.32,273.2,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,few_shot,76.3,71.2,80.8,0.599,149.4,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,structured,88.0,83.8,91.2,0.547,82.6,0.0,N/A
gemma-2b,Gemma-2,2.0,sst2,zero_shot,92.3,88.8,94.8,0.525,76.1,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,cot,84.3,79.8,88.0,8.882,424.9,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,few_shot,2.3,1.1,4.7,4.76,8680.0,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,structured,22.7,18.3,27.7,1.805,446.6,0.0,N/A
gemma-9b,Gemma-2,9.0,gsm8k,zero_shot,18.3,14.4,23.1,1.391,518.6,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,cot,71.3,66.0,76.2,325.253,408.3,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,few_shot,70.7,65.3,75.5,2.762,402.2,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,structured,69.3,63.9,74.3,6.89,200.8,0.0,N/A
gemma-9b,Gemma-2,9.0,mmlu,zero_shot,72.3,67.0,77.1,1.425,179.1,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,cot,91.0,87.2,93.7,9.182,244.2,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,few_shot,91.0,87.2,93.7,1.811,125.0,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,structured,92.7,89.1,95.1,1.224,74.0,0.0,N/A
gemma-9b,Gemma-2,9.0,sst2,zero_shot,90.3,86.5,93.2,1.15,71.1,0.0,N/A
