model,family,params_b,benchmark,strategy,accuracy_%,ci_lo,ci_hi,sec_per_item,tokens_per_correct,cost_per_1k_usd,accuracy_per_dollar
llama-1b,Llama-3,1.0,gsm8k,cot,1.4,0.8,2.3,2.381,34101.7,0.0,N/A
llama-1b,Llama-3,1.0,gsm8k,few_shot,1.4,0.8,2.3,0.734,15997.6,0.0,N/A
llama-1b,Llama-3,1.0,gsm8k,structured,4.8,3.6,6.3,0.248,2639.2,0.0,N/A
llama-1b,Llama-3,1.0,gsm8k,zero_shot,6.6,5.2,8.3,0.378,2024.1,0.0,N/A
llama-1b,Llama-3,1.0,mmlu,cot,33.3,30.4,36.3,3.214,1208.6,0.0,N/A
llama-1b,Llama-3,1.0,mmlu,few_shot,1.3,0.8,2.2,0.698,24828.3,0.0,N/A
llama-1b,Llama-3,1.0,mmlu,structured,39.0,36.0,42.1,0.309,416.7,0.0,N/A
llama-1b,Llama-3,1.0,mmlu,zero_shot,32.4,29.6,35.4,0.346,476.1,0.0,N/A
llama-1b,Llama-3,1.0,sst2,cot,70.6,67.5,73.6,2.794,497.8,0.0,N/A
llama-1b,Llama-3,1.0,sst2,few_shot,0.1,0.0,0.6,0.32,124325.0,0.0,N/A
llama-1b,Llama-3,1.0,sst2,structured,73.4,70.4,76.2,0.25,133.0,0.0,N/A
llama-1b,Llama-3,1.0,sst2,zero_shot,58.4,55.1,61.6,0.277,168.9,0.0,N/A
llama-3b,Llama-3,3.0,gsm8k,cot,73.0,70.2,75.7,4.83,602.5,0.0,N/A
llama-3b,Llama-3,3.0,gsm8k,few_shot,1.5,0.9,2.5,1.639,14931.1,0.0,N/A
llama-3b,Llama-3,3.0,gsm8k,structured,7.7,6.2,9.5,0.576,1645.0,0.0,N/A
llama-3b,Llama-3,3.0,gsm8k,zero_shot,11.1,9.3,13.2,1.424,1433.9,0.0,N/A
llama-3b,Llama-3,3.0,mmlu,cot,55.9,52.8,58.9,4.524,592.5,0.0,N/A
llama-3b,Llama-3,3.0,mmlu,few_shot,39.7,36.7,42.8,1.115,798.9,0.0,N/A
llama-3b,Llama-3,3.0,mmlu,structured,56.6,53.5,59.6,14.394,285.7,0.0,N/A
llama-3b,Llama-3,3.0,mmlu,zero_shot,52.9,49.8,56.0,0.61,286.0,0.0,N/A
llama-3b,Llama-3,3.0,sst2,cot,84.7,82.2,87.0,4.598,356.1,0.0,N/A
llama-3b,Llama-3,3.0,sst2,few_shot,55.7,52.4,59.0,0.815,255.2,0.0,N/A
llama-3b,Llama-3,3.0,sst2,structured,89.9,87.7,91.7,0.477,108.5,0.0,N/A
llama-3b,Llama-3,3.0,sst2,zero_shot,88.6,86.4,90.6,0.664,105.0,0.0,N/A
llama-8b,Llama-3,8.0,gsm8k,cot,81.9,79.4,84.2,12.313,537.2,0.0,N/A
llama-8b,Llama-3,8.0,gsm8k,few_shot,0.8,0.4,1.6,3.849,27745.9,0.0,N/A
llama-8b,Llama-3,8.0,gsm8k,structured,9.9,8.2,11.9,1.994,1276.2,0.0,N/A
llama-8b,Llama-3,8.0,gsm8k,zero_shot,20.1,17.7,22.7,2.275,694.2,0.0,N/A
llama-8b,Llama-3,8.0,mmlu,cot,57.3,54.2,60.3,12.82,671.4,0.0,N/A
llama-8b,Llama-3,8.0,mmlu,few_shot,56.3,53.2,59.3,2.584,562.6,0.0,N/A
llama-8b,Llama-3,8.0,mmlu,structured,63.6,60.6,66.5,1.671,251.2,0.0,N/A
llama-8b,Llama-3,8.0,mmlu,zero_shot,62.5,59.5,65.4,1.292,238.8,0.0,N/A
llama-8b,Llama-3,8.0,sst2,cot,90.9,88.9,92.7,9.949,316.5,0.0,N/A
llama-8b,Llama-3,8.0,sst2,few_shot,85.4,82.9,87.6,1.661,164.4,0.0,N/A
llama-8b,Llama-3,8.0,sst2,structured,92.3,90.4,93.9,1.428,103.5,0.0,N/A
llama-8b,Llama-3,8.0,sst2,zero_shot,92.9,91.0,94.4,1.401,103.8,0.0,N/A
