model,family,params_b,benchmark,strategy,seed,correct,numeric_present,rel_error,elapsed_sec,in_tokens,out_tokens,output
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.125,70,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.086,63,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.086,61,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.149,95,16,The sentiment of the sentence is negative. The author is criticizing the speaker for their
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.145,72,16,"Positive. The sentence describes a comedy about cultural clashes in a new Delhi, which"
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.095,79,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.095,70,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.09,65,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.086,61,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.102,69,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.089,60,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.097,74,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.094,78,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.09,65,2,Positive.
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.095,69,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.099,69,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.147,83,16,"Positive. The sentence expresses a highly positive sentiment, highlighting the strength and quality of"
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.103,110,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.095,84,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.095,74,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.098,70,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.096,68,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.095,90,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.095,73,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.086,64,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.095,90,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.139,58,15,"The sentiment of the sentence ""should have been someone else"" is negative."
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.097,74,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,0,,,0.094,78,1,Positive
qwen-0.5b,Qwen2.5-Instruct,0.5,sst2,zero_shot,43,1,,,0.15,86,16,The sentiment of the sentence is negative. The sentence criticizes the material link as
